Symbol,LTP,Change%,Market Cap (Cr),Catalyst/Reason,Date
IBULLSLTD,24.33,4.96%,"₹5,434",Indiabulls Limited's (NSE:IBULLSLTD) Fundamentals Look Pretty Strong: Could The Market Be Wrong About The Stock? - simplywall.st,2026-06-03
TECHLABS,170.3,4.99%,"₹1,225",Trident Techlabs schedules earnings call for FY26 results - scanx.trade,2026-06-04
UFBL,506.0,10.0%,"₹1,978",Barbeque-Nation Hospitality First Quarter 2026 Earnings: ₹4.20 loss per share (vs ₹1.24 loss in 1Q 2025) - simplywall.st,2026-06-05
KDL,125.85,4.96%,"₹1,953",A Piece Of The Puzzle Missing From Kore Digital Limited's (NSE:KDL) Share Price - simplywall.st,2026-06-12
TECHLABS,135.3,4.97%,"₹1,225",Will Weakness in Trident Techlabs Limited's (NSE:TECHLABS) Stock Prove Temporary Given Strong Fundamentals? - simplywall.st,2026-06-15
RAJRILTD,23.33,1.97%,"₹1,314",RAJRILTD Stock Price and Chart — NSE:RAJRILTD - TradingView,2026-06-25
STYLEBAAZA,279.2,4.98%,"₹2,083",3 Indian Stocks Trading Below Fair Value on Cash Flow - simplywall.st,2026-06-30
MCLEODRUSS,59.82,4.98%,₹625,Benign Growth For McLeod Russel India Limited (NSE:MCLEODRUSS) Underpins Stock's 28% Plummet - simplywall.st,2026-06-30
LAXMIINDIA,119.61,4.99%,₹627,"Laxmi India Fin Standalone March 2026 Net Sales at Rs 92.84 crore, up 25.01% Y-o-Y - Moneycontrol.com",2026-07-06
GAUDIUMIVF,119.18,5.0%,₹867,"Gaudium IVF and Women Health IPO Day 3: Check subscription status, allotment date and steps - Upstox",2026-07-09
NEUEON,13.81,4.94%,₹781,"Neueon Corporation Limited Receives Trading Approval for 50,89,00,968 Equity Shares on Preferential Basis - scanx.trade",2026-07-10
GAUDIUMIVF,150.96,4.99%,"₹1,099","Gaudium IVF and Women Health IPO Day 3: Check subscription status, allotment date and steps - Upstox",2026-07-20
MODISONLTD,322.5,4.9%,"₹1,045",Modison Ltd leads gainers in 'B' group - Business Standard,2026-08-12
